icd10_code,description
L97526,Non-pressure chronic ulcer of other part of left foot with bone involvement without evidence of necrosis
L97528,Non-pressure chronic ulcer of other part of left foot with other specified severity
L97529,Non-pressure chronic ulcer of other part of left foot with unspecified severity
L97801,Non-pressure chronic ulcer of other part of unspecified lower leg limited to breakdown of skin
L97802,Non-pressure chronic ulcer of other part of unspecified lower leg with fat layer exposed
L97803,Non-pressure chronic ulcer of other part of unspecified lower leg with necrosis of muscle
L97804,Non-pressure chronic ulcer of other part of unspecified lower leg with necrosis of bone
L97805,Non-pressure chronic ulcer of other part of unspecified lower leg with muscle involvement without evidence of necrosis
L97806,Non-pressure chronic ulcer of other part of unspecified lower leg with bone involvement without evidence of necrosis
L97808,Non-pressure chronic ulcer of other part of unspecified lower leg with other specified severity
L97809,Non-pressure chronic ulcer of other part of unspecified lower leg with unspecified severity
L97811,Non-pressure chronic ulcer of other part of right lower leg limited to breakdown of skin
L97812,Non-pressure chronic ulcer of other part of right lower leg with fat layer exposed
L97813,Non-pressure chronic ulcer of other part of right lower leg with necrosis of muscle
L97814,Non-pressure chronic ulcer of other part of right lower leg with necrosis of bone
L97815,Non-pressure chronic ulcer of other part of right lower leg with muscle involvement without evidence of necrosis
L97816,Non-pressure chronic ulcer of other part of right lower leg with bone involvement without evidence of necrosis
L97818,Non-pressure chronic ulcer of other part of right lower leg with other specified severity
L97819,Non-pressure chronic ulcer of other part of right lower leg with unspecified severity
L97821,Non-pressure chronic ulcer of other part of left lower leg limited to breakdown of skin
L97822,Non-pressure chronic ulcer of other part of left lower leg with fat layer exposed
L97823,Non-pressure chronic ulcer of other part of left lower leg with necrosis of muscle
L97824,Non-pressure chronic ulcer of other part of left lower leg with necrosis of bone
L97825,Non-pressure chronic ulcer of other part of left lower leg with muscle involvement without evidence of necrosis
L97826,Non-pressure chronic ulcer of other part of left lower leg with bone involvement without evidence of necrosis
L97828,Non-pressure chronic ulcer of other part of left lower leg with other specified severity
L97829,Non-pressure chronic ulcer of other part of left lower leg with unspecified severity
L97901,Non-pressure chronic ulcer of unspecified part of unspecified lower leg limited to breakdown of skin
L97902,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with fat layer exposed
L97903,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with necrosis of muscle
L97904,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with necrosis of bone
L97905,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with muscle involvement without evidence of necrosis
L97906,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with bone involvement without evidence of necrosis
L97908,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with other specified severity
L97909,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with unspecified severity
L97911,Non-pressure chronic ulcer of unspecified part of right lower leg limited to breakdown of skin
L97912,Non-pressure chronic ulcer of unspecified part of right lower leg with fat layer exposed
L97913,Non-pressure chronic ulcer of unspecified part of right lower leg with necrosis of muscle
L97914,Non-pressure chronic ulcer of unspecified part of right lower leg with necrosis of bone
L97915,Non-pressure chronic ulcer of unspecified part of right lower leg with muscle involvement without evidence of necrosis
L97916,Non-pressure chronic ulcer of unspecified part of right lower leg with bone involvement without evidence of necrosis
L97918,Non-pressure chronic ulcer of unspecified part of right lower leg with other specified severity
L97919,Non-pressure chronic ulcer of unspecified part of right lower leg with unspecified severity
L97921,Non-pressure chronic ulcer of unspecified part of left lower leg limited to breakdown of skin
L97922,Non-pressure chronic ulcer of unspecified part of left lower leg with fat layer exposed
L97923,Non-pressure chronic ulcer of unspecified part of left lower leg with necrosis of muscle
L97924,Non-pressure chronic ulcer of unspecified part of left lower leg with necrosis of bone
L97925,Non-pressure chronic ulcer of unspecified part of left lower leg with muscle involvement without evidence of necrosis
L97926,Non-pressure chronic ulcer of unspecified part of left lower leg with bone involvement without evidence of necrosis
L97928,Non-pressure chronic ulcer of unspecified part of left lower leg with other specified severity
L97929,Non-pressure chronic ulcer of unspecified part of left lower leg with unspecified severity
L98411,Non-pressure chronic ulcer of buttock limited to breakdown of skin
L98412,Non-pressure chronic ulcer of buttock with fat layer exposed
L98413,Non-pressure chronic ulcer of buttock with necrosis of muscle
L98414,Non-pressure chronic ulcer of buttock with necrosis of bone
L98415,Non-pressure chronic ulcer of buttock with muscle involvement without evidence of necrosis
L98416,Non-pressure chronic ulcer of buttock with bone involvement without evidence of necrosis
L98418,Non-pressure chronic ulcer of buttock with other specified severity
L98419,Non-pressure chronic ulcer of buttock with unspecified severity
L98421,Non-pressure chronic ulcer of back limited to breakdown of skin
L98422,Non-pressure chronic ulcer of back with fat layer exposed
L98423,Non-pressure chronic ulcer of back with necrosis of muscle
L98424,Non-pressure chronic ulcer of back with necrosis of bone
L98425,Non-pressure chronic ulcer of back with muscle involvement without evidence of necrosis
L98426,Non-pressure chronic ulcer of back with bone involvement without evidence of necrosis
L98428,Non-pressure chronic ulcer of back with other specified severity
L98429,Non-pressure chronic ulcer of back with unspecified severity
L98491,Non-pressure chronic ulcer of skin of other sites limited to breakdown of skin
L98492,Non-pressure chronic ulcer of skin of other sites with fat layer exposed
L98493,Non-pressure chronic ulcer of skin of other sites with necrosis of muscle
L98494,Non-pressure chronic ulcer of skin of other sites with necrosis of bone
L98495,Non-pressure chronic ulcer of skin of other sites with muscle involvement without evidence of necrosis
L98496,Non-pressure chronic ulcer of skin of other sites with bone involvement without evidence of necrosis
L98498,Non-pressure chronic ulcer of skin of other sites with other specified severity
L98499,Non-pressure chronic ulcer of skin of other sites with unspecified severity
M4850XA,"Collapsed vertebra, not elsewhere classified, site unspecified, initial encounter for fracture"
M4851XA,"Collapsed vertebra, not elsewhere classified, occipito-atlanto-axial region, initial encounter for fracture"
M4852XA,"Collapsed vertebra, not elsewhere classified, cervical region, initial encounter for fracture"
M4853XA,"Collapsed vertebra, not elsewhere classified, cervicothoracic region, initial encounter for fracture"
M4854XA,"Collapsed vertebra, not elsewhere classified, thoracic region, initial encounter for fracture"
M4855XA,"Collapsed vertebra, not elsewhere classified, thoracolumbar region, initial encounter for fracture"
M4856XA,"Collapsed vertebra, not elsewhere classified, lumbar region, initial encounter for fracture"
M4857XA,"Collapsed vertebra, not elsewhere classified, lumbosacral region, initial encounter for fracture"
M4858XA,"Collapsed vertebra, not elsewhere classified, sacral and sacrococcygeal region, initial encounter for fracture"
M726,Necrotizing fasciitis
M8000XA,"Age-related osteoporosis with current pathological fracture, unspecified site, initial encounter for fracture"
M80011A,"Age-related osteoporosis with current pathological fracture, right shoulder, initial encounter for fracture"
M80012A,"Age-related osteoporosis with current pathological fracture, left shoulder, initial encounter for fracture"
M80019A,"Age-related osteoporosis with current pathological fracture, unspecified shoulder, initial encounter for fracture"
M80021A,"Age-related osteoporosis with current pathological fracture, right humerus, initial encounter for fracture"
M80022A,"Age-related osteoporosis with current pathological fracture, left humerus, initial encounter for fracture"
M80029A,"Age-related osteoporosis with current pathological fracture, unspecified humerus, initial encounter for fracture"
M80031A,"Age-related osteoporosis with current pathological fracture, right forearm, initial encounter for fracture"
M80032A,"Age-related osteoporosis with current pathological fracture, left forearm, initial encounter for fracture"
M80039A,"Age-related osteoporosis with current pathological fracture, unspecified forearm, initial encounter for fracture"
M80041A,"Age-related osteoporosis with current pathological fracture, right hand, initial encounter for fracture"
M80042A,"Age-related osteoporosis with current pathological fracture, left hand, initial encounter for fracture"
M80049A,"Age-related osteoporosis with current pathological fracture, unspecified hand, initial encounter for fracture"
M80051A,"Age-related osteoporosis with current pathological fracture, right femur, initial encounter for fracture"
M80052A,"Age-related osteoporosis with current pathological fracture, left femur, initial encounter for fracture"
M80059A,"Age-related osteoporosis with current pathological fracture, unspecified femur, initial encounter for fracture"
M80061A,"Age-related osteoporosis with current pathological fracture, right lower leg, initial encounter for fracture"
M80062A,"Age-related osteoporosis with current pathological fracture, left lower leg, initial encounter for fracture"
M80069A,"Age-related osteoporosis with current pathological fracture, unspecified lower leg, initial encounter for fracture"
M80071A,"Age-related osteoporosis with current pathological fracture, right ankle and foot, initial encounter for fracture"
M80072A,"Age-related osteoporosis with current pathological fracture, left ankle and foot, initial encounter for fracture"
M80079A,"Age-related osteoporosis with current pathological fracture, unspecified ankle and foot, initial encounter for fracture"
M8008XA,"Age-related osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture"
M800AXA,"Age-related osteoporosis with current pathological fracture, other site, initial encounter for fracture"
M800B1A,"Age-related osteoporosis with current pathological fracture, right pelvis, initial encounter for fracture"
M800B2A,"Age-related osteoporosis with current pathological fracture, left pelvis, initial encounter for fracture"
M800B9A,"Age-related osteoporosis with current pathological fracture, unspecified pelvis, initial encounter for fracture"
M8080XA,"Other osteoporosis with current pathological fracture, unspecified site, initial encounter for fracture"
M80811A,"Other osteoporosis with current pathological fracture, right shoulder, initial encounter for fracture"
M80812A,"Other osteoporosis with current pathological fracture, left shoulder, initial encounter for fracture"
M80819A,"Other osteoporosis with current pathological fracture, unspecified shoulder, initial encounter for fracture"
M80821A,"Other osteoporosis with current pathological fracture, right humerus, initial encounter for fracture"
M80822A,"Other osteoporosis with current pathological fracture, left humerus, initial encounter for fracture"
M80829A,"Other osteoporosis with current pathological fracture, unspecified humerus, initial encounter for fracture"
M80831A,"Other osteoporosis with current pathological fracture, right forearm, initial encounter for fracture"
M80832A,"Other osteoporosis with current pathological fracture, left forearm, initial encounter for fracture"
M80839A,"Other osteoporosis with current pathological fracture, unspecified forearm, initial encounter for fracture"
M80841A,"Other osteoporosis with current pathological fracture, right hand, initial encounter for fracture"
M80842A,"Other osteoporosis with current pathological fracture, left hand, initial encounter for fracture"
M80849A,"Other osteoporosis with current pathological fracture, unspecified hand, initial encounter for fracture"
M80851A,"Other osteoporosis with current pathological fracture, right femur, initial encounter for fracture"
M80852A,"Other osteoporosis with current pathological fracture, left femur, initial encounter for fracture"
M80859A,"Other osteoporosis with current pathological fracture, unspecified femur, initial encounter for fracture"
M80861A,"Other osteoporosis with current pathological fracture, right lower leg, initial encounter for fracture"
M80862A,"Other osteoporosis with current pathological fracture, left lower leg, initial encounter for fracture"
M80869A,"Other osteoporosis with current pathological fracture, unspecified lower leg, initial encounter for fracture"
M80871A,"Other osteoporosis with current pathological fracture, right ankle and foot, initial encounter for fracture"
M80872A,"Other osteoporosis with current pathological fracture, left ankle and foot, initial encounter for fracture"
M80879A,"Other osteoporosis with current pathological fracture, unspecified ankle and foot, initial encounter for fracture"
M8088XA,"Other osteoporosis with current pathological fracture, vertebra(e), initial encounter for fracture"
M808AXA,"Other osteoporosis with current pathological fracture, other site, initial encounter for fracture"
M808B1A,"Other osteoporosis with current pathological fracture, right pelvis, initial encounter for fracture"
M808B2A,"Other osteoporosis with current pathological fracture, left pelvis, initial encounter for fracture"
M808B9A,"Other osteoporosis with current pathological fracture, unspecified pelvis, initial encounter for fracture"
M8440XA,"Pathological fracture, unspecified site, initial encounter for fracture"
M84411A,"Pathological fracture, right shoulder, initial encounter for fracture"
M84412A,"Pathological fracture, left shoulder, initial encounter for fracture"
M84419A,"Pathological fracture, unspecified shoulder, initial encounter for fracture"
M84421A,"Pathological fracture, right humerus, initial encounter for fracture"
M84422A,"Pathological fracture, left humerus, initial encounter for fracture"
M84429A,"Pathological fracture, unspecified humerus, initial encounter for fracture"
M84431A,"Pathological fracture, right ulna, initial encounter for fracture"
M84432A,"Pathological fracture, left ulna, initial encounter for fracture"
M84433A,"Pathological fracture, right radius, initial encounter for fracture"
M84434A,"Pathological fracture, left radius, initial encounter for fracture"
M84439A,"Pathological fracture, unspecified ulna and radius, initial encounter for fracture"
M84441A,"Pathological fracture, right hand, initial encounter for fracture"
M84442A,"Pathological fracture, left hand, initial encounter for fracture"
M84443A,"Pathological fracture, unspecified hand, initial encounter for fracture"
M84444A,"Pathological fracture, right finger(s), initial encounter for fracture"
M84445A,"Pathological fracture, left finger(s), initial encounter for fracture"
M84446A,"Pathological fracture, unspecified finger(s), initial encounter for fracture"
M84451A,"Pathological fracture, right femur, initial encounter for fracture"
M84452A,"Pathological fracture, left femur, initial encounter for fracture"
M84453A,"Pathological fracture, unspecified femur, initial encounter for fracture"
M84454A,"Pathological fracture, pelvis, initial encounter for fracture"
M84459A,"Pathological fracture, hip, unspecified, initial encounter for fracture"
M84461A,"Pathological fracture, right tibia, initial encounter for fracture"
M84462A,"Pathological fracture, left tibia, initial encounter for fracture"
M84463A,"Pathological fracture, right fibula, initial encounter for fracture"
M84464A,"Pathological fracture, left fibula, initial encounter for fracture"
M84469A,"Pathological fracture, unspecified tibia and fibula, initial encounter for fracture"
M84471A,"Pathological fracture, right ankle, initial encounter for fracture"
M84472A,"Pathological fracture, left ankle, initial encounter for fracture"
M84473A,"Pathological fracture, unspecified ankle, initial encounter for fracture"
M84474A,"Pathological fracture, right foot, initial encounter for fracture"
M84475A,"Pathological fracture, left foot, initial encounter for fracture"
M84476A,"Pathological fracture, unspecified foot, initial encounter for fracture"
M84477A,"Pathological fracture, right toe(s), initial encounter for fracture"
M84478A,"Pathological fracture, left toe(s), initial encounter for fracture"
M84479A,"Pathological fracture, unspecified toe(s), initial encounter for fracture"
M8448XA,"Pathological fracture, other site, initial encounter for fracture"
M8450XA,"Pathological fracture in neoplastic disease, unspecified site, initial encounter for fracture"
M84511A,"Pathological fracture in neoplastic disease, right shoulder, initial encounter for fracture"
M84512A,"Pathological fracture in neoplastic disease, left shoulder, initial encounter for fracture"
M84519A,"Pathological fracture in neoplastic disease, unspecified shoulder, initial encounter for fracture"
M84521A,"Pathological fracture in neoplastic disease, right humerus, initial encounter for fracture"
M84522A,"Pathological fracture in neoplastic disease, left humerus, initial encounter for fracture"
M84529A,"Pathological fracture in neoplastic disease, unspecified humerus, initial encounter for fracture"
M84531A,"Pathological fracture in neoplastic disease, right ulna, initial encounter for fracture"
M84532A,"Pathological fracture in neoplastic disease, left ulna, initial encounter for fracture"
M84533A,"Pathological fracture in neoplastic disease, right radius, initial encounter for fracture"
M84534A,"Pathological fracture in neoplastic disease, left radius, initial encounter for fracture"
M84539A,"Pathological fracture in neoplastic disease, unspecified ulna and radius, initial encounter for fracture"
M84541A,"Pathological fracture in neoplastic disease, right hand, initial encounter for fracture"
M84542A,"Pathological fracture in neoplastic disease, left hand, initial encounter for fracture"
M84549A,"Pathological fracture in neoplastic disease, unspecified hand, initial encounter for fracture"
M84550A,"Pathological fracture in neoplastic disease, pelvis, initial encounter for fracture"
M84551A,"Pathological fracture in neoplastic disease, right femur, initial encounter for fracture"
M84552A,"Pathological fracture in neoplastic disease, left femur, initial encounter for fracture"
M84553A,"Pathological fracture in neoplastic disease, unspecified femur, initial encounter for fracture"
M84559A,"Pathological fracture in neoplastic disease, hip, unspecified, initial encounter for fracture"
M84561A,"Pathological fracture in neoplastic disease, right tibia, initial encounter for fracture"
M84562A,"Pathological fracture in neoplastic disease, left tibia, initial encounter for fracture"
M84563A,"Pathological fracture in neoplastic disease, right fibula, initial encounter for fracture"
M84564A,"Pathological fracture in neoplastic disease, left fibula, initial encounter for fracture"
M84569A,"Pathological fracture in neoplastic disease, unspecified tibia and fibula, initial encounter for fracture"
M84571A,"Pathological fracture in neoplastic disease, right ankle, initial encounter for fracture"
M84572A,"Pathological fracture in neoplastic disease, left ankle, initial encounter for fracture"
M84573A,"Pathological fracture in neoplastic disease, unspecified ankle, initial encounter for fracture"
M84574A,"Pathological fracture in neoplastic disease, right foot, initial encounter for fracture"
M84575A,"Pathological fracture in neoplastic disease, left foot, initial encounter for fracture"
M84576A,"Pathological fracture in neoplastic disease, unspecified foot, initial encounter for fracture"
M8458XA,"Pathological fracture in neoplastic disease, other specified site, initial encounter for fracture"
M8460XA,"Pathological fracture in other disease, unspecified site, initial encounter for fracture"
M84611A,"Pathological fracture in other disease, right shoulder, initial encounter for fracture"
M84612A,"Pathological fracture in other disease, left shoulder, initial encounter for fracture"
M84619A,"Pathological fracture in other disease, unspecified shoulder, initial encounter for fracture"
M84621A,"Pathological fracture in other disease, right humerus, initial encounter for fracture"
M84622A,"Pathological fracture in other disease, left humerus, initial encounter for fracture"
M84629A,"Pathological fracture in other disease, unspecified humerus, initial encounter for fracture"
M84631A,"Pathological fracture in other disease, right ulna, initial encounter for fracture"
M84632A,"Pathological fracture in other disease, left ulna, initial encounter for fracture"
M84633A,"Pathological fracture in other disease, right radius, initial encounter for fracture"
M84634A,"Pathological fracture in other disease, left radius, initial encounter for fracture"
M84639A,"Pathological fracture in other disease, unspecified ulna and radius, initial encounter for fracture"
M84641A,"Pathological fracture in other disease, right hand, initial encounter for fracture"
M84642A,"Pathological fracture in other disease, left hand, initial encounter for fracture"
M84649A,"Pathological fracture in other disease, unspecified hand, initial encounter for fracture"
M84650A,"Pathological fracture in other disease, pelvis, initial encounter for fracture"
M84651A,"Pathological fracture in other disease, right femur, initial encounter for fracture"
M84652A,"Pathological fracture in other disease, left femur, initial encounter for fracture"
M84653A,"Pathological fracture in other disease, unspecified femur, initial encounter for fracture"
M84659A,"Pathological fracture in other disease, hip, unspecified, initial encounter for fracture"
M84661A,"Pathological fracture in other disease, right tibia, initial encounter for fracture"
M84662A,"Pathological fracture in other disease, left tibia, initial encounter for fracture"
M84663A,"Pathological fracture in other disease, right fibula, initial encounter for fracture"
M84664A,"Pathological fracture in other disease, left fibula, initial encounter for fracture"
M84669A,"Pathological fracture in other disease, unspecified tibia and fibula, initial encounter for fracture"
M84671A,"Pathological fracture in other disease, right ankle, initial encounter for fracture"
M84672A,"Pathological fracture in other disease, left ankle, initial encounter for fracture"
M84673A,"Pathological fracture in other disease, unspecified ankle, initial encounter for fracture"
M84674A,"Pathological fracture in other disease, right foot, initial encounter for fracture"
M84675A,"Pathological fracture in other disease, left foot, initial encounter for fracture"
M84676A,"Pathological fracture in other disease, unspecified foot, initial encounter for fracture"
M8468XA,"Pathological fracture in other disease, other site, initial encounter for fracture"
M84754A,"Complete transverse atypical femoral fracture, right leg, initial encounter for fracture"
M84755A,"Complete transverse atypical femoral fracture, left leg, initial encounter for fracture"
M84756A,"Complete transverse atypical femoral fracture, unspecified leg, initial encounter for fracture"
M84757A,"Complete oblique atypical femoral fracture, right leg, initial encounter for fracture"
M84758A,"Complete oblique atypical femoral fracture, left leg, initial encounter for fracture"
M84759A,"Complete oblique atypical femoral fracture, unspecified leg, initial encounter for fracture"
M8600,"Acute hematogenous osteomyelitis, unspecified site"
M86011,"Acute hematogenous osteomyelitis, right shoulder"
M86012,"Acute hematogenous osteomyelitis, left shoulder"
M86019,"Acute hematogenous osteomyelitis, unspecified shoulder"
M86021,"Acute hematogenous osteomyelitis, right humerus"
M86022,"Acute hematogenous osteomyelitis, left humerus"
M86029,"Acute hematogenous osteomyelitis, unspecified humerus"
M86031,"Acute hematogenous osteomyelitis, right radius and ulna"
M86032,"Acute hematogenous osteomyelitis, left radius and ulna"
M86039,"Acute hematogenous osteomyelitis, unspecified radius and ulna"
M86041,"Acute hematogenous osteomyelitis, right hand"
M86042,"Acute hematogenous osteomyelitis, left hand"
M86049,"Acute hematogenous osteomyelitis, unspecified hand"
M86051,"Acute hematogenous osteomyelitis, right femur"
M86052,"Acute hematogenous osteomyelitis, left femur"
M86059,"Acute hematogenous osteomyelitis, unspecified femur"
M86061,"Acute hematogenous osteomyelitis, right tibia and fibula"
M86062,"Acute hematogenous osteomyelitis, left tibia and fibula"
M86069,"Acute hematogenous osteomyelitis, unspecified tibia and fibula"
M86071,"Acute hematogenous osteomyelitis, right ankle and foot"
M86072,"Acute hematogenous osteomyelitis, left ankle and foot"
M86079,"Acute hematogenous osteomyelitis, unspecified ankle and foot"
M8608,"Acute hematogenous osteomyelitis, other sites"
M8609,"Acute hematogenous osteomyelitis, multiple sites"
M8610,"Other acute osteomyelitis, unspecified site"
M86111,"Other acute osteomyelitis, right shoulder"
M86112,"Other acute osteomyelitis, left shoulder"
M86119,"Other acute osteomyelitis, unspecified shoulder"
M86121,"Other acute osteomyelitis, right humerus"
M86122,"Other acute osteomyelitis, left humerus"
M86129,"Other acute osteomyelitis, unspecified humerus"
M86131,"Other acute osteomyelitis, right radius and ulna"
M86132,"Other acute osteomyelitis, left radius and ulna"
M86139,"Other acute osteomyelitis, unspecified radius and ulna"
M86141,"Other acute osteomyelitis, right hand"
M86142,"Other acute osteomyelitis, left hand"
M86149,"Other acute osteomyelitis, unspecified hand"
M86151,"Other acute osteomyelitis, right femur"
M86152,"Other acute osteomyelitis, left femur"
M86159,"Other acute osteomyelitis, unspecified femur"
M86161,"Other acute osteomyelitis, right tibia and fibula"
M86162,"Other acute osteomyelitis, left tibia and fibula"
M86169,"Other acute osteomyelitis, unspecified tibia and fibula"
M86171,"Other acute osteomyelitis, right ankle and foot"
M86172,"Other acute osteomyelitis, left ankle and foot"
M86179,"Other acute osteomyelitis, unspecified ankle and foot"
M8618,"Other acute osteomyelitis, other site"
M8619,"Other acute osteomyelitis, multiple sites"
M86241,"Subacute osteomyelitis, right hand"
M96621,"Fracture of humerus following insertion of orthopedic implant, joint prosthesis, or bone plate, right arm"
M96622,"Fracture of humerus following insertion of orthopedic implant, joint prosthesis, or bone plate, left arm"
M96629,"Fracture of humerus following insertion of orthopedic implant, joint prosthesis, or bone plate, unspecified arm"
M96631,"Fracture of radius or ulna following insertion of orthopedic implant, joint prosthesis, or bone plate, right arm"
M96632,"Fracture of radius or ulna following insertion of orthopedic implant, joint prosthesis, or bone plate, left arm"
M96639,"Fracture of radius or ulna following insertion of orthopedic implant, joint prosthesis, or bone plate, unspecified arm"
M9665,"Fracture of pelvis following insertion of orthopedic implant, joint prosthesis, or bone plate"
M96661,"Fracture of femur following insertion of orthopedic implant, joint prosthesis, or bone plate, right leg"
M96662,"Fracture of femur following insertion of orthopedic implant, joint prosthesis, or bone plate, left leg"
M96669,"Fracture of femur following insertion of orthopedic implant, joint prosthesis, or bone plate, unspecified leg"
M96671,"Fracture of tibia or fibula following insertion of orthopedic implant, joint prosthesis, or bone plate, right leg"
M96672,"Fracture of tibia or fibula following insertion of orthopedic implant, joint prosthesis, or bone plate, left leg"
M96679,"Fracture of tibia or fibula following insertion of orthopedic implant, joint prosthesis, or bone plate, unspecified leg"
M9669,"Fracture of other bone following insertion of orthopedic implant, joint prosthesis, or bone plate"
M9701XA,"Periprosthetic fracture around internal prosthetic right hip joint, initial encounter"
M9702XA,"Periprosthetic fracture around internal prosthetic left hip joint, initial encounter"
N170,Acute kidney failure with tubular necrosis
N171,Acute kidney failure with acute cortical necrosis
N172,Acute kidney failure with medullary necrosis
N178,Other acute kidney failure
N179,"Acute kidney failure, unspecified"
N99510,Cystostomy hemorrhage
N99511,Cystostomy infection
N99512,Cystostomy malfunction
N99518,Other cystostomy complication
N99520,Hemorrhage of incontinent external stoma of urinary tract
N99521,Infection of incontinent external stoma of urinary tract
N99522,Malfunction of incontinent external stoma of urinary tract
N99523,Herniation of incontinent stoma of urinary tract
N99524,Stenosis of incontinent stoma of urinary tract
N99528,Other complication of incontinent external stoma of urinary tract
N99530,Hemorrhage of continent stoma of urinary tract
N99531,Infection of continent stoma of urinary tract
N99532,Malfunction of continent stoma of urinary tract
N99533,Herniation of continent stoma of urinary tract
N99534,Stenosis of continent stoma of urinary tract
N99538,Other complication of continent stoma of urinary tract
O0000,Abdominal pregnancy without intrauterine pregnancy
O00101,Right tubal pregnancy without intrauterine pregnancy
O00102,Left tubal pregnancy without intrauterine pregnancy
O00202,Left ovarian pregnancy without intrauterine pregnancy
O0080,Other ectopic pregnancy without intrauterine pregnancy
O0090,Unspecified ectopic pregnancy without intrauterine pregnancy
O020,Blighted ovum and nonhydatidiform mole
O021,Missed abortion
O0281,Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy
O0339,Incomplete spontaneous abortion with other complications
O034,Incomplete spontaneous abortion without complication
O039,Complete or unspecified spontaneous abortion without complication
O0480,(Induced) termination of pregnancy with unspecified complications
O0489,(Induced) termination of pregnancy with other complications
O09212,"Supervision of pregnancy with history of pre-term labor, second trimester"
O09213,"Supervision of pregnancy with history of pre-term labor, third trimester"
O09291,"Supervision of pregnancy with other poor reproductive or obstetric history, first trimester"
O0933,"Supervision of pregnancy with insufficient antenatal care, third trimester"
O09511,"Supervision of elderly primigravida, first trimester"
O09512,"Supervision of elderly primigravida, second trimester"
O09513,"Supervision of elderly primigravida, third trimester"
O09521,"Supervision of elderly multigravida, first trimester"
O09522,"Supervision of elderly multigravida, second trimester"
O09611,"Supervision of young primigravida, first trimester"
O09613,"Supervision of young primigravida, third trimester"
O09619,"Supervision of young primigravida, unspecified trimester"
O09811,"Supervision of pregnancy resulting from assisted reproductive technology, first trimester"
O09819,"Supervision of pregnancy resulting from assisted reproductive technology, unspecified trimester"
O09899,"Supervision of other high risk pregnancies, unspecified trimester"
O0990,"Supervision of high risk pregnancy, unspecified, unspecified trimester"
O0991,"Supervision of high risk pregnancy, unspecified, first trimester"
O0992,"Supervision of high risk pregnancy, unspecified, second trimester"
O1203,"Gestational edema, third trimester"
O1212,"Gestational proteinuria, second trimester"
O131,"Gestational [pregnancy-induced] hypertension without significant proteinuria, first trimester"
O132,"Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester"
O139,"Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester"
O1420,"HELLP syndrome (HELLP), unspecified trimester"
O1490,"Unspecified pre-eclampsia, unspecified trimester"
O169,"Unspecified maternal hypertension, unspecified trimester"
O200,Threatened abortion
O209,"Hemorrhage in early pregnancy, unspecified"
O210,Mild hyperemesis gravidarum
O211,Hyperemesis gravidarum with metabolic disturbance
O219,"Vomiting of pregnancy, unspecified"
O2230,"Deep phlebothrombosis in pregnancy, unspecified trimester"
O2340,"Unspecified infection of urinary tract in pregnancy, unspecified trimester"
O2341,"Unspecified infection of urinary tract in pregnancy, first trimester"
O24011,"Pre-existing type 1 diabetes mellitus, in pregnancy, first trimester"
O24019,"Pre-existing type 1 diabetes mellitus, in pregnancy, unspecified trimester"
O24410,"Gestational diabetes mellitus in pregnancy, diet controlled"
O24414,"Gestational diabetes mellitus in pregnancy, insulin controlled"
O24415,"Gestational diabetes mellitus in pregnancy, controlled by oral hypoglycemic drugs"
O24419,"Gestational diabetes mellitus in pregnancy, unspecified control"
O24429,"Gestational diabetes mellitus in childbirth, unspecified control"
O24911,"Unspecified diabetes mellitus in pregnancy, first trimester"
O26612,"Liver and biliary tract disorders in pregnancy, second trimester"
O26619,"Liver and biliary tract disorders in pregnancy, unspecified trimester"
O26819,"Pregnancy related exhaustion and fatigue, unspecified trimester"
O26859,"Spotting complicating pregnancy, unspecified trimester"
O26891,"Other specified pregnancy related conditions, first trimester"
O26899,"Other specified pregnancy related conditions, unspecified trimester"
O283,Abnormal ultrasonic finding on antenatal screening of mother
O29019,"Aspiration pneumonitis due to anesthesia during pregnancy, unspecified trimester"
O2990,"Unspecified complication of anesthesia during pregnancy, unspecified trimester"
O30009,"Twin pregnancy, unspecified number of placenta and unspecified number of amniotic sacs, unspecified trimester"
O3429,Maternal care due to uterine scar from other previous surgery
O34599,"Maternal care for other abnormalities of gravid uterus, unspecified trimester"
O3511X9,"Maternal care for (suspected) chromosomal abnormality in fetus, Trisomy 13, other fetus"
O359XX0,"Maternal care for (suspected) fetal abnormality and damage, unspecified, not applicable or unspecified"
O35HXX9,"Maternal care for other (suspected) fetal abnormality and damage, fetal lower extremities anomalies, other fetus"
O365999,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, other fetus"
O3680X0,"Pregnancy with inconclusive fetal viability, not applicable or unspecified"
O3680X9,"Pregnancy with inconclusive fetal viability, other fetus"
O368999,"Maternal care for other specified fetal problems, unspecified trimester, other fetus"
O403XX1,"Polyhydramnios, third trimester, fetus 1"
O418X12,"Other specified disorders of amniotic fluid and membranes, first trimester, fetus 2"
